"Room","Date","Time","Module","Course_Level","Tutorial","Double_module","Class_went_ahead","Capacity","Percentage_room_full","Wifi_Average_logs","Wifi_Max_logs"
1,"2015-11-13",16,"0","0",0,0,1,90,0.25,8.25,11
2,"2015-11-03",9,"0","0",0,0,1,90,0,2.5833,9
2,"2015-11-04",9,"COMP47300","4",0,0,0,90,0,2.0909,4
2,"2015-11-05",9,"COMP30060","3",0,0,1,90,0,15.6667,31
2,"2015-11-06",9,"COMP20020","2",0,0,1,90,0.25,25.6667,38
2,"2015-11-09",9,"COMP20020","2",0,0,1,90,0.5,28,40
2,"2015-11-10",9,"0","0",0,0,1,90,0,2.7273,8
2,"2015-11-11",9,"COMP47300","4",0,0,0,90,0,1.5455,7
2,"2015-11-12",9,"COMP30060","3",0,0,1,90,0,6.3636,13
2,"2015-11-13",9,"COMP20020","2",0,0,1,90,0.5,22,28
2,"2015-11-03",10,"0","0",0,0,1,90,0.75,7.3636,12
2,"2015-11-04",10,"COMP47300","4",1,0,0,90,0.25,14.1667,16
2,"2015-11-05",10,"0","0",0,0,1,90,0.25,31.9091,35
2,"2015-11-06",10,"COMP20020","2",0,0,1,90,0.75,46,53
2,"2015-11-09",10,"COMP20020","2",0,0,1,90,0.25,36,43
2,"2015-11-10",10,"0","0",0,0,1,90,0,12.9167,23
2,"2015-11-11",10,"COMP47300","4",1,0,0,90,0,7.6667,10
2,"2015-11-12",10,"0","0",0,0,1,90,0,5.1667,13
2,"2015-11-13",10,"COMP20020","2",0,0,1,90,0.5,28.3636,30
2,"2015-11-03",11,"COMP10280","1",0,0,1,90,0.75,52.0909,70
2,"2015-11-04",11,"COMP47300","4",1,0,0,90,0,17.7273,28
2,"2015-11-05",11,"0","0",0,0,1,90,0.25,19.4,33
2,"2015-11-06",11,"COMP47290","4",0,0,0,90,0.25,25.0833,37
2,"2015-11-09",11,"COMP30010","3",0,0,1,90,0.5,36.5455,61
2,"2015-11-10",11,"COMP10280","1",0,0,1,90,0.5,57.0833,66
2,"2015-11-11",11,"COMP47300","4",1,0,0,90,0.75,18.2727,44
2,"2015-11-12",11,"0","0",0,0,1,90,0.25,7.8333,14
2,"2015-11-13",11,"COMP47290","4",0,0,0,90,0.25,20.3636,22
2,"2015-11-03",12,"0","0",0,0,1,90,0.25,19.3333,43
2,"2015-11-04",12,"COMP30080","3",0,0,1,90,0.75,79.9091,103
2,"2015-11-05",12,"COMP10280","1",0,0,1,90,0.5,46.4167,53
2,"2015-11-06",12,"COMP47290","4",0,0,0,90,0.25,24.75,26
2,"2015-11-09",12,"COMP30010","3",0,0,1,90,0.5,47.5,59
2,"2015-11-10",12,"0","0",0,0,1,90,0.5,27,37
2,"2015-11-11",12,"COMP30080","3",0,0,1,90,0.75,81.5,97
2,"2015-11-12",12,"COMP10280","1",0,0,1,90,0.25,65.3636,71
2,"2015-11-13",12,"COMP47290","4",0,0,0,90,0.25,25.3333,30
2,"2015-11-03",13,"Careers","5",0,0,1,90,0,12,24
2,"2015-11-04",13,"COMP30080","3",0,0,1,90,0.75,89.5,99
2,"2015-11-05",13,"Careers","5",0,0,1,90,0.25,30.3333,36
2,"2015-11-06",13,"0","0",0,0,1,90,0,17.5,28
2,"2015-11-09",13,"0","0",0,0,1,90,0.25,28,32
2,"2015-11-10",13,"Careers","5",0,0,1,90,0.25,9.7273,16
2,"2015-11-11",13,"COMP30080","3",0,0,1,90,0.75,88.6,95
2,"2015-11-12",13,"Careers","5",0,0,1,90,0,25.0833,74
2,"2015-11-13",13,"0","0",0,0,1,90,0,17.3333,26
2,"2015-11-03",14,"0","0",0,0,1,90,0.5,31.3636,42
2,"2015-11-04",14,"COMP47300","4",0,0,0,90,0,22.75,69
2,"2015-11-05",14,"COMP47300","4",0,0,0,90,0.25,17.4545,35
2,"2015-11-06",14,"COMP30080","3",0,0,1,90,0.75,51.9167,65
2,"2015-11-09",14,"COMP30010","3",0,0,1,90,0.25,33.9167,42
2,"2015-11-10",14,"0","0",0,0,1,90,0.25,24.5455,36
2,"2015-11-11",14,"COMP47300","4",0,0,0,90,0.5,41.1667,77
2,"2015-11-12",14,"COMP47300","4",0,0,0,90,0.25,19.3333,25
2,"2015-11-13",14,"COMP30080","3",0,0,1,90,0.5,44.9167,54
2,"2015-11-03",15,"0","0",0,0,1,90,0.25,21.2727,39
2,"2015-11-04",15,"COMP47300","4",0,0,0,90,0,13.6364,15
2,"2015-11-05",15,"COMP47290","4",0,0,0,90,0,8.1667,10
2,"2015-11-06",15,"COMP30080","3",0,0,1,90,0.75,47.3333,60
2,"2015-11-09",15,"COMP30010","3",0,0,1,90,0.25,27.1667,39
2,"2015-11-10",15,"0","0",0,0,1,90,0.25,15.9167,23
2,"2015-11-11",15,"COMP47300","4",0,0,0,90,0.25,4.4167,9
2,"2015-11-12",15,"COMP47290","4",0,0,0,90,0.25,13,17
2,"2015-11-13",15,"COMP30080","3",0,0,1,90,0.25,37.0833,45
2,"2015-11-03",16,"0","0",0,0,1,90,0,9.5833,12
2,"2015-11-04",16,"0","0",0,0,1,90,0,7.4545,14
2,"2015-11-05",16,"COMP47290","4",0,0,0,90,0,9.25,14
2,"2015-11-06",16,"0","0",0,0,1,90,0.5,14.5833,24
2,"2015-11-09",16,"COMP30060","3",0,0,1,90,0.25,12.5,17
2,"2015-11-10",16,"0","0",0,0,1,90,0,4.25,7
2,"2015-11-11",16,"0","0",0,0,1,90,0.5,19,23
2,"2015-11-12",16,"COMP47290","4",0,0,0,90,0,12.4167,20
2,"2015-11-13",16,"0","0",0,0,1,90,0.25,16.25,20
3,"2015-11-03",9,"COMP30120","3",0,1,1,160,0.75,102.25,129
3,"2015-11-04",9,"COMP30010","3",0,0,1,160,0.25,29.5455,36
3,"2015-11-05",9,"COMP30120","3",0,1,1,160,1,192.9167,230
3,"2015-11-06",9,"0","0",0,0,1,160,0,10.9167,30
3,"2015-11-09",9,"COMP30010","3",0,0,1,160,0.25,25.5455,31
3,"2015-11-10",9,"COMP30120","3",0,1,1,160,0.25,62,69
3,"2015-11-11",9,"COMP30010","3",0,0,1,160,0,22.9091,28
3,"2015-11-12",9,"COMP30120","3",0,1,1,160,0.5,73.4545,93
3,"2015-11-13",9,"0","0",0,0,1,160,0,6.5833,19
