"","Room","Date","Time","Logistic_occupancy","fit","lwr","upr"
"1","1","2015-11-03",9,"Low",9.51376884424264,6.08066181534813,12.9468758731371
"2","1","2015-11-03",10,"Mid_Low",27.3008803930071,24.9162841484084,29.6854766376058
"3","1","2015-11-03",11,"Mid_Low",26.9052840419244,24.5213632903194,29.2892047935293
"4","1","2015-11-03",12,"Mid_Low",16.344007493382,13.5274317982808,19.1605831884832
"5","1","2015-11-03",13,"Mid_Low",16.4044276914847,13.5924144409941,19.2164409419753
"6","1","2015-11-03",14,"Mid_Low",39.6974657921996,36.6993857081361,42.6955458762632
"7","1","2015-11-03",15,"Mid_Low",35.2795380056032,32.6149428416623,37.9441331695441
"8","1","2015-11-03",16,"Mid_Low",32.4826558461331,29.9703042691121,34.9950074231542
"9","1","2015-11-04",9,"Mid_Low",15.8274256795919,12.9710860259442,18.6837653332397
"10","1","2015-11-04",10,"Mid_Low",16.525340620941,13.7224010830541,19.3282801588279
"11","1","2015-11-04",11,"Low",12.1348304032315,8.95915766169615,15.3105031447668
"12","1","2015-11-04",12,"Mid_Low",30.1362777087707,27.7084551004987,32.5641003170427
"13","1","2015-11-04",13,"Mid_Low",24.2621723746244,21.8489396917761,26.6754050574727
"14","1","2015-11-04",14,"Mid_Low",22.7510871560497,20.2953178540081,25.2068564580914
"15","1","2015-11-04",15,"Low",10.0907708561354,6.71617699235587,13.4653647199149
"16","1","2015-11-04",16,"Mid_Low",18.3990920946337,15.726567811729,21.0716163775384
"17","1","2015-11-05",9,"Low",11.0248540628173,7.74285436811042,14.3068537575242
"18","1","2015-11-05",10,"Mid_Low",30.466013867924,28.0288879775657,32.9031397582822
"19","1","2015-11-05",11,"Mid_Low",29.6417460032918,27.2262395631122,32.0572524434713
"20","1","2015-11-05",12,"Mid_Low",21.1190890080187,18.5975744410811,23.6406035749564
"21","1","2015-11-05",13,"Mid_Low",15.981341238264,13.136989196614,18.8256932799141
"22","1","2015-11-05",14,"Mid_Low",29.2131470229933,26.8067056497372,31.6195883962495
"23","1","2015-11-05",15,"Mid_Low",41.8514857478475,38.6585283521855,45.0444431435096
"24","1","2015-11-05",16,"Mid_Low",30.4274987116304,27.9915041423152,32.8634932809457
"25","1","2015-11-06",9,"Low",7.82135049810897,4.21134505240591,11.431355943812
"26","1","2015-11-06",10,"Low",9.87643509936064,6.48021900332289,13.2726511953984
"27","1","2015-11-06",11,"Mid_Low",18.7617583497517,16.1121267501688,21.4113899493346
"28","1","2015-11-06",12,"Mid_Low",16.2835147620283,13.4623523677107,19.104677156346
"29","1","2015-11-06",13,"Low",13.9443174165172,10.9323077331317,16.9563270999027
"30","1","2015-11-06",14,"Mid_Low",27.4154103963734,25.0303713567417,29.800449436005
"31","1","2015-11-06",15,"Mid_Low",30.9110778962048,28.4600303961385,33.3621253962711
"32","1","2015-11-06",16,"Mid_Low",21.1190890080187,18.5975744410811,23.6406035749564
"33","1","2015-11-09",9,"Mid_Low",16.7506288986203,13.9643920165209,19.5368657807198
"34","1","2015-11-09",10,"Mid_Low",17.8550927119567,15.1467536550603,20.5634317688531
"35","1","2015-11-09",11,"Low",12.8601629134675,9.75161273178529,15.9687130951496
"36","1","2015-11-09",12,"Mid_Low",18.8221785478544,16.176282599092,21.4680744966167
"37","1","2015-11-09",13,"Mid_Low",29.5428106488956,27.1295301241541,31.9560911736371
"38","1","2015-11-09",14,"Mid_Low",15.4977620536897,12.6153562391638,18.3801678682155
"39","1","2015-11-09",15,"Mid_Low",17.069340003618,14.3062711152326,19.8324088920035
"40","1","2015-11-09",16,"Mid_Low",52.6710532032849,48.3019830762927,57.0401233302772
"41","1","2015-11-10",9,"Low",7.71690261663498,4.09573983682102,11.3380653964489
"42","1","2015-11-10",10,"Mid_Low",23.7181729919474,21.2917285121754,26.1446174717194
"43","1","2015-11-10",11,"Mid_Low",21.9048417163574,19.4174613987032,24.3922220340115
"44","1","2015-11-10",12,"Mid_Low",30.7297447686458,28.284557205919,33.1749323313725
"45","1","2015-11-10",13,"Mid_Low",14.3767606591199,11.4019071802377,17.3516141380021
"46","1","2015-11-10",14,"Mid_Low",37.7852716954645,34.9437222732453,40.6268211176837
"47","1","2015-11-10",15,"Mid_Low",35.2630729576208,32.5995220557183,37.9266238595233
"48","1","2015-11-10",16,"Mid_Low",30.7901649667484,28.3430534469764,33.2372764865205
"49","1","2015-11-11",9,"Mid_Low",14.3108279339395,11.3303613192638,17.2912945486151
"50","1","2015-11-11",10,"Mid_Low",14.2888503588793,11.3065085077296,17.271192210029
"51","1","2015-11-11",11,"Mid_Low",13.9811643080372,10.9723515838287,16.9899770322457
"52","1","2015-11-11",12,"Mid_Low",32.9661624974565,30.4312893251719,35.501035669741
"53","1","2015-11-11",13,"Mid_Low",19.7046906130585,17.1107322918835,22.2986489342335
"54","1","2015-11-11",14,"Mid_Low",17.976005641413,15.2757771773046,20.6762341055215
"55","1","2015-11-11",15,"Mid_Low",26.2568367777734,23.8711576277614,28.6425159277854
"56","1","2015-11-11",16,"Mid_Low",24.2621723746244,21.8489396917761,26.6754050574727
"57","1","2015-11-12",9,"Low",10.2885690316767,6.93380746144568,13.6433306019078
"58","1","2015-11-12",10,"Mid_Low",26.9821692880094,24.598220984697,29.3661175913219
"59","1","2015-11-12",11,"Mid_Low",28.4328343084814,26.0390043661624,30.8266642508004
"60","1","2015-11-12",12,"Mid_Low",16.8824943489812,14.1059092524254,19.659079445537
"61","1","2015-11-12",13,"Low",11.8710995025097,8.67054731048957,15.0716516945297
